# ----------------------------------------
# 1 Master View
# Localização
# 20200203-20200209
# ----------------------------------------

País,Usuários,Novos usuários,Sessões,Taxa de rejeição,Páginas / sessão,Duração média da sessão,Transações,Receita,Taxa de conversão do comércio eletrônico
United States,5.052,4.200,6.147,"30,60%","6,21",00:03:41,20,"US$ 960,80","0,33%"
India,1.007,941,1.119,"59,25%","2,86",00:01:53,0,"US$ 0,00","0,00%"
United Kingdom,731,657,820,"59,27%","2,85",00:01:44,1,"US$ 72,00","0,12%"
Canada,579,502,815,"34,85%","4,42",00:04:17,0,"US$ 0,00","0,00%"
France,416,363,498,"59,04%","2,63",00:01:36,0,"US$ 0,00","0,00%"
Spain,378,319,539,"53,62%","3,25",00:04:46,0,"US$ 0,00","0,00%"
Japan,329,297,388,"58,76%","2,68",00:01:45,0,"US$ 0,00","0,00%"
Germany,293,265,335,"54,63%","3,79",00:02:05,0,"US$ 0,00","0,00%"
South Korea,262,241,346,"49,71%","3,13",00:02:17,0,"US$ 0,00","0,00%"
Taiwan,212,188,250,"43,20%","3,65",00:02:38,0,"US$ 0,00","0,00%"
Netherlands,211,199,232,"70,69%","2,15",00:00:44,0,"US$ 0,00","0,00%"
Brazil,175,167,214,"60,75%","2,80",00:02:11,0,"US$ 0,00","0,00%"
Australia,165,157,180,"62,22%","2,97",00:01:40,0,"US$ 0,00","0,00%"
Italy,155,148,190,"57,89%","3,88",00:02:56,0,"US$ 0,00","0,00%"
Mexico,153,146,182,"47,25%","3,14",00:02:01,0,"US$ 0,00","0,00%"
Singapore,142,117,165,"52,12%","3,98",00:01:57,0,"US$ 0,00","0,00%"
Russia,124,120,151,"52,98%","2,99",00:02:59,0,"US$ 0,00","0,00%"
Ireland,107,95,121,"66,12%","2,69",00:01:16,0,"US$ 0,00","0,00%"
Poland,107,86,126,"54,76%","3,23",00:01:41,0,"US$ 0,00","0,00%"
Indonesia,102,92,129,"60,47%","3,23",00:02:14,0,"US$ 0,00","0,00%"
Sweden,101,92,130,"60,00%","2,42",00:01:36,0,"US$ 0,00","0,00%"
Belgium,93,91,109,"67,89%","2,59",00:01:20,0,"US$ 0,00","0,00%"
China,91,90,92,"85,87%","1,45",00:00:39,0,"US$ 0,00","0,00%"
Turkey,89,84,102,"57,84%","2,75",00:02:08,0,"US$ 0,00","0,00%"
Switzerland,83,78,91,"61,54%","2,68",00:01:09,0,"US$ 0,00","0,00%"
Colombia,82,73,121,"40,50%","4,30",00:05:04,0,"US$ 0,00","0,00%"
Hong Kong,80,78,85,"61,18%","5,45",00:03:16,0,"US$ 0,00","0,00%"
Philippines,75,69,87,"51,72%","3,45",00:01:44,0,"US$ 0,00","0,00%"
Thailand,75,72,83,"53,01%","3,23",00:02:08,0,"US$ 0,00","0,00%"
Ukraine,63,62,66,"53,03%","3,68",00:02:19,0,"US$ 0,00","0,00%"
Peru,61,48,74,"47,30%","3,26",00:01:52,0,"US$ 0,00","0,00%"
Malaysia,57,52,62,"58,06%","2,60",00:01:37,0,"US$ 0,00","0,00%"
Israel,56,48,60,"56,67%","3,13",00:02:05,0,"US$ 0,00","0,00%"
United Arab Emirates,54,50,62,"54,84%","2,74",00:01:32,0,"US$ 0,00","0,00%"
Portugal,51,48,59,"62,71%","3,41",00:02:25,0,"US$ 0,00","0,00%"
Vietnam,49,49,52,"71,15%","2,79",00:01:42,0,"US$ 0,00","0,00%"
Bangladesh,48,46,53,"20,75%","4,68",00:03:22,0,"US$ 0,00","0,00%"
Denmark,40,36,46,"60,87%","3,35",00:01:34,0,"US$ 0,00","0,00%"
Greece,40,35,43,"67,44%","1,77",00:00:45,0,"US$ 0,00","0,00%"
Czechia,33,32,34,"73,53%","2,21",00:00:32,0,"US$ 0,00","0,00%"
(not set),33,30,35,"74,29%","1,86",00:00:45,0,"US$ 0,00","0,00%"
Austria,32,27,38,"50,00%","2,68",00:01:39,0,"US$ 0,00","0,00%"
Pakistan,31,29,36,"47,22%","2,39",00:00:48,0,"US$ 0,00","0,00%"
South Africa,30,29,38,"65,79%","2,42",00:02:15,0,"US$ 0,00","0,00%"
New Zealand,29,24,40,"55,00%","3,48",00:01:37,0,"US$ 0,00","0,00%"
Romania,29,29,33,"57,58%","2,21",00:00:54,0,"US$ 0,00","0,00%"
Egypt,28,27,37,"62,16%","6,35",00:06:28,1,"US$ 49,50","2,70%"
Finland,28,26,33,"63,64%","1,91",00:02:14,0,"US$ 0,00","0,00%"
Saudi Arabia,26,26,28,"53,57%","2,61",00:00:33,0,"US$ 0,00","0,00%"
Norway,23,20,24,"75,00%","1,42",00:00:33,0,"US$ 0,00","0,00%"
Slovakia,23,23,23,"65,22%","2,48",00:00:45,0,"US$ 0,00","0,00%"
Argentina,22,22,24,"79,17%","1,46",00:00:29,0,"US$ 0,00","0,00%"
Chile,22,20,25,"48,00%","3,20",00:02:57,0,"US$ 0,00","0,00%"
Belarus,21,20,44,"36,36%","6,80",00:09:19,0,"US$ 0,00","0,00%"
Sri Lanka,21,19,21,"66,67%","3,14",00:00:47,0,"US$ 0,00","0,00%"
Morocco,21,19,22,"50,00%","2,18",00:00:28,0,"US$ 0,00","0,00%"
Guatemala,20,20,22,"45,45%","3,45",00:01:37,0,"US$ 0,00","0,00%"
Hungary,19,19,20,"65,00%","3,15",00:01:10,0,"US$ 0,00","0,00%"
Croatia,16,13,16,"62,50%","2,06",00:02:01,0,"US$ 0,00","0,00%"
Ecuador,13,12,21,"33,33%","8,81",00:10:28,0,"US$ 0,00","0,00%"
Nigeria,13,13,13,"30,77%","3,31",00:01:20,0,"US$ 0,00","0,00%"
Costa Rica,11,10,16,"37,50%","4,62",00:03:39,0,"US$ 0,00","0,00%"
Serbia,11,11,12,"58,33%","3,25",00:09:13,0,"US$ 0,00","0,00%"
Algeria,9,9,9,"44,44%","2,44",00:00:28,0,"US$ 0,00","0,00%"
Lithuania,9,8,9,"33,33%","2,78",00:01:25,0,"US$ 0,00","0,00%"
